id,content,score,content_length,cleaned_content,keywords_str
0,还可以刷脸解锁，帮朋友买的，她很满意,5,18,还可以刷脸解锁帮朋友买的她很满意,朋友 解锁 满意
1,第一次买vivo，真心不错，1498的机子，没想到照相很清晰，性价比很高，买值了，还送了小音响，用了，真不错，机子贴膜都贴好了，不用自己单贴膜，拿起来就用，系统也不错，很快，国产的品牌真挺不错的。,5,98,第一次买真心不错的机子没想到照相很清晰性价比很高买值了还送了小音响用了真不错机子贴膜都贴好了不用自己单贴膜拿起来就用系统也不错很快国产的品牌真挺不错的,贴膜 机子 真不错 音响 没想到 挺不错 真心 照相 不用 品牌 国产 不错 第一次 起来 清晰
2,手机好用快递送的快。,5,10,手机好用快递送的快,好用 手机
3,手机收到。外观设计很好！美观大方。我喜欢！一直使用华为手机。从荣耀七，荣耀八，荣耀九。反正一出新机就想换。荣耀十就想换。一直考虑。看见这款机挺心动！现在手里的荣耀七，荣耀八。想不出处理办法！有不敢随便处理。怕高手把里面资料回复。留在手里也不是办法。给人也不敢。如果有好的方法！介绍个！,5,142,手机收到外观设计很好美观大方我喜欢一直使用华为手机从荣耀七荣耀八荣耀九反正一出新机就想换荣耀十就想换一直考虑看见这款机挺心动现在手里的荣耀七荣耀八想不出处理办法有不敢随便处理怕高手把里面资料回复留在手里也不是办法给人也不敢如果有好的方法介绍个,荣耀 办法 不敢 处理 手里 资料 方法 介绍 心动 随便 回复 外观设计 考虑 新机 里面
4,收到了，挺好的，声音大，电池大，好用发货速度快，非常满意，好好好。,5,33,收到了挺好的声音大电池大好用发货速度快非常满意好好好,好好 声音 发货 电池 满意 收到 速度 非常
5,本来觉得双十一还会便宜的，想不到和11月初的价格差不多，想想还是感觉入手了，早买早享受。我的5s也该退休了，16G的内存完全不够用。值得表扬的是快递真的太快了，双十一买的，12号下午就到了。然后玩了一晚上，机子运行速度挺快，不过有些网上传的小问题，出现了两次开机闪屏的现象，后来就好了，不影响机子运行。打电话有轻微电流声，可以接受。整天感觉还行，等用段时间在看看。,5,182,本来觉得双十一还会便宜的想不到和月初的价格差不多想想还是感觉入手了早买早享受我的也该退休了的内存完全不够用值得表扬的是快递真的太快了双十一买的号下午就到了然后玩了一晚上机子运行速度挺快不过有些网上传的小问题出现了两次开机闪屏的现象后来就好了不影响机子运行打电话有轻微电流声可以接受整天感觉还行等用段时间在看看,双十 机子 运行 轻微 表扬 享受 想想 感觉 太快 段时间 不够 现象 接受 影响 打电话
6,没有真正意义上的窄边框，不过已经不错了，手机流畅，另外还有51G空间可用，同时试了下近距拍摄，我的发毛清晰可见,5,55,没有真正意义上的窄边框不过已经不错了手机流畅另外还有空间可用同时试了下近距拍摄我的发毛清晰可见,真正 拍摄 边框 流畅 没有 不错 手机
7,幻夜黑颜色很漂亮，2.5D屏幕，圆润。2K屏很清晰，惊艳,5,28,幻夜黑颜色很漂亮屏幕圆润屏很清晰惊艳,惊艳 颜色 很漂亮 清晰 屏幕
8,特地用了一段时间才来评价，这手机值得这个价钱，打游戏还行，就是电池很不耐用，摄像头也很突出，人脸识别很鸡肋，但是总体感觉还是很好的,5,65,特地用了一段时间才来评价这手机值得这个价钱打游戏还行就是电池很不耐用摄像头也很突出人脸识别很鸡肋但是总体感觉还是很好的,鸡肋 突出 价钱 打游戏 人脸识别 耐用 一段时间 摄像头 值得 电池 评价 感觉 手机
9,机器没得说，价格也合理，虽说仍有不足，但还是比较满意的，首发就抢到了，暂时发现的不足就是扬声器没有现在用的note2好，虽说有点儿立体声，但是低音一般，还有就是显示，应该是屏幕的问题，比如说看新闻的时候，向下滑动，字体会模糊，这点不满意，其他都不错,5,124,机器没得说价格也合理虽说仍有不足但还是比较满意的首发就抢到了暂时发现的不足就是扬声器没有现在用的好虽说有点儿立体声但是低音一般还有就是显示应该是屏幕的问题比如说看新闻的时候向下滑动字体会模糊这点不满意其他都不错,不足 新闻 扬声器 合理 比较满意 首发 这点 字体 没得说 暂时 机器 显示 应该 发现 价格
