algorithm,scale,min_support,min_conf,antecedent,consequent,support,confidence,lift,leverage,conviction,cosine
apriori,0.2,0.005,0.4,小爱,同学,0.008130,1.000000,76.875000,0.008024,inf,0.790569
apriori,0.2,0.005,0.4,同学,小爱,0.008130,0.625000,76.875000,0.008024,2.644986,0.790569
apriori,0.2,0.005,0.4,显示,屏幕,0.006504,0.666667,11.714286,0.005949,2.829268,0.276026
apriori,0.2,0.005,0.4,指纹,解锁,0.006504,0.500000,25.625000,0.006250,1.960976,0.408248
apriori,0.2,0.005,0.4,挺快,速度,0.008130,0.500000,5.125000,0.006544,1.804878,0.204124
apriori,0.2,0.005,0.4,系统,流畅,0.022764,0.437500,6.562500,0.019295,1.659259,0.386510
apriori,0.2,0.005,0.4,照相,系统,0.006504,0.500000,9.609375,0.005827,1.895935,0.250000
apriori,0.2,0.005,0.4,续航,电池,0.006504,0.500000,10.250000,0.005870,1.902439,0.258199
apriori,0.2,0.005,0.4,耐用,电池,0.017886,0.846154,17.346154,0.016855,6.182927,0.557007
apriori,0.2,0.005,0.4,齐全,配件,0.006504,0.800000,82.000000,0.006425,4.951220,0.730297
apriori,0.2,0.005,0.4,配件,齐全,0.006504,0.666667,82.000000,0.006425,2.975610,0.730297
apriori,0.2,0.005,0.4,外观 好看,流畅,0.006504,0.571429,8.571429,0.005745,2.177778,0.236113
apriori,0.2,0.005,0.4,好看 流畅,外观,0.006504,0.666667,11.714286,0.005949,2.829268,0.276026
apriori,0.2,0.005,0.4,外观 流畅,好看,0.006504,0.500000,12.812500,0.005996,1.921951,0.288675
apriori,0.2,0.005,0.4,好看 系统,流畅,0.008130,1.000000,15.000000,0.007588,inf,0.349215
apriori,0.2,0.005,0.4,好看 流畅,系统,0.008130,0.833333,16.015625,0.007622,5.687805,0.360844
fpgrowth,0.2,0.005,0.4,系统,流畅,0.022764,0.437500,6.562500,0.019295,1.659259,0.386510
fpgrowth,0.2,0.005,0.4,小爱,同学,0.008130,1.000000,76.875000,0.008024,inf,0.790569
fpgrowth,0.2,0.005,0.4,同学,小爱,0.008130,0.625000,76.875000,0.008024,2.644986,0.790569
fpgrowth,0.2,0.005,0.4,外观 好看,流畅,0.006504,0.571429,8.571429,0.005745,2.177778,0.236113
fpgrowth,0.2,0.005,0.4,好看 流畅,外观,0.006504,0.666667,11.714286,0.005949,2.829268,0.276026
fpgrowth,0.2,0.005,0.4,外观 流畅,好看,0.006504,0.500000,12.812500,0.005996,1.921951,0.288675
fpgrowth,0.2,0.005,0.4,好看 系统,流畅,0.008130,1.000000,15.000000,0.007588,inf,0.349215
fpgrowth,0.2,0.005,0.4,好看 流畅,系统,0.008130,0.833333,16.015625,0.007622,5.687805,0.360844
fpgrowth,0.2,0.005,0.4,指纹,解锁,0.006504,0.500000,25.625000,0.006250,1.960976,0.408248
fpgrowth,0.2,0.005,0.4,续航,电池,0.006504,0.500000,10.250000,0.005870,1.902439,0.258199
fpgrowth,0.2,0.005,0.4,耐用,电池,0.017886,0.846154,17.346154,0.016855,6.182927,0.557007
fpgrowth,0.2,0.005,0.4,挺快,速度,0.008130,0.500000,5.125000,0.006544,1.804878,0.204124
fpgrowth,0.2,0.005,0.4,显示,屏幕,0.006504,0.666667,11.714286,0.005949,2.829268,0.276026
fpgrowth,0.2,0.005,0.4,齐全,配件,0.006504,0.800000,82.000000,0.006425,4.951220,0.730297
fpgrowth,0.2,0.005,0.4,配件,齐全,0.006504,0.666667,82.000000,0.006425,2.975610,0.730297
fpgrowth,0.2,0.005,0.4,照相,系统,0.006504,0.500000,9.609375,0.005827,1.895935,0.250000
eclat,0.2,0.005,0.4,同学,小爱,0.008130,0.625000,76.875000,0.008024,2.644986,0.790569
eclat,0.2,0.005,0.4,小爱,同学,0.008130,1.000000,76.875000,0.008024,,0.790569
eclat,0.2,0.005,0.4,齐全,配件,0.006504,0.800000,82.000000,0.006425,4.951220,0.730297
eclat,0.2,0.005,0.4,配件,齐全,0.006504,0.666667,82.000000,0.006425,2.975610,0.730297
eclat,0.2,0.005,0.4,显示,屏幕,0.006504,0.666667,11.714286,0.005949,2.829268,0.276026
eclat,0.2,0.005,0.4,指纹,解锁,0.006504,0.500000,25.625000,0.006250,1.960976,0.408248
eclat,0.2,0.005,0.4,照相,系统,0.006504,0.500000,9.609375,0.005827,1.895935,0.250000
eclat,0.2,0.005,0.4,续航,电池,0.006504,0.500000,10.250000,0.005870,1.902439,0.258199
eclat,0.2,0.005,0.4,发热,流畅,0.006504,0.400000,6.000000,0.005420,1.555556,0.197546
eclat,0.2,0.005,0.4,挺快,速度,0.008130,0.500000,5.125000,0.006544,1.804878,0.204124
eclat,0.2,0.005,0.4,耐用,电池,0.017886,0.846154,17.346154,0.016855,6.182927,0.557007
eclat,0.2,0.005,0.4,好看 流畅,系统,0.008130,0.833333,16.015625,0.007622,5.687805,0.360844
eclat,0.2,0.005,0.4,好看 系统,流畅,0.008130,1.000000,15.000000,0.007588,,0.349215
