algorithm,scale,min_support,min_conf,runtime_sec,memory_mb
apriori,0.2,0.005,0.4,0.181718,58.13
fpgrowth,0.2,0.005,0.4,0.125827,20.48
eclat,0.2,0.005,0.4,0.021773,0.43
apriori_improved,0.2,0.005,0.4,0.220230,7.25
apriori,0.4,0.005,0.4,0.259437,101.83
fpgrowth,0.4,0.005,0.4,0.255549,41.51
eclat,0.4,0.005,0.4,0.020111,0.69
apriori_improved,0.4,0.005,0.4,0.196067,7.05
apriori,0.6,0.005,0.4,0.346156,137.78
fpgrowth,0.6,0.005,0.4,0.318499,62.25
eclat,0.6,0.005,0.4,0.020657,0.95
apriori_improved,0.6,0.005,0.4,0.203901,6.99
apriori,0.8,0.005,0.4,0.429806,163.38
fpgrowth,0.8,0.005,0.4,0.411945,82.89
eclat,0.8,0.005,0.4,0.022799,1.10
apriori_improved,0.8,0.005,0.4,0.216130,7.04
apriori,1.0,0.005,0.4,0.544808,223.42
fpgrowth,1.0,0.005,0.4,0.505177,103.50
eclat,1.0,0.005,0.4,0.026544,1.28
apriori_improved,1.0,0.005,0.4,0.242725,7.35
