algorithm,scale,min_support,min_conf,mean_support,min_support_val,max_support_val,mean_confidence,min_confidence_val,max_confidence_val,mean_lift,min_lift,max_lift
apriori,0.2,0.3,0.4,,,,,,,,,
fpgrowth,0.2,0.3,0.4,,,,,,,,,
eclat,0.2,0.3,0.4,,,,,,,,,
apriori_hash_trie,0.2,0.3,0.4,,,,,,,,,
apriori,0.4,0.3,0.4,,,,,,,,,
fpgrowth,0.4,0.3,0.4,,,,,,,,,
eclat,0.4,0.3,0.4,,,,,,,,,
apriori_hash_trie,0.4,0.3,0.4,,,,,,,,,
apriori,0.6,0.3,0.4,,,,,,,,,
fpgrowth,0.6,0.3,0.4,,,,,,,,,
eclat,0.6,0.3,0.4,,,,,,,,,
apriori_hash_trie,0.6,0.3,0.4,,,,,,,,,
apriori,0.8,0.3,0.4,,,,,,,,,
fpgrowth,0.8,0.3,0.4,,,,,,,,,
eclat,0.8,0.3,0.4,,,,,,,,,
apriori_hash_trie,0.8,0.3,0.4,,,,,,,,,
apriori,1.0,0.3,0.4,,,,,,,,,
fpgrowth,1.0,0.3,0.4,,,,,,,,,
eclat,1.0,0.3,0.4,,,,,,,,,
apriori_hash_trie,1.0,0.3,0.4,,,,,,,,,
