algorithm,min_support,min_conf,mean_support,min_support_val,max_support_val,mean_confidence,min_confidence_val,max_confidence_val,mean_lift,min_lift,max_lift
apriori,0.003,0.4,0.005196,0.003248,0.012991,0.633647,0.400000,0.909091,86.454141,4.743178,254.462810
fpgrowth,0.003,0.4,0.005196,0.003248,0.012991,0.633647,0.400000,0.909091,86.454141,4.743178,254.462810
eclat,0.003,0.4,0.005196,0.003248,0.012991,0.633647,0.400000,0.909091,86.454141,4.743178,254.462810
apriori_improved,0.003,0.4,0.005196,0.003248,0.012991,0.633647,0.400000,0.909091,86.454141,4.743178,254.462810
apriori,0.004,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
fpgrowth,0.004,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
eclat,0.004,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
apriori_improved,0.004,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
apriori,0.005,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
fpgrowth,0.005,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
eclat,0.005,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
apriori_improved,0.005,0.4,0.008769,0.006496,0.012991,0.506257,0.425532,0.655738,8.882000,4.743178,13.283003
apriori,0.007,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
fpgrowth,0.007,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
eclat,0.007,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
apriori_improved,0.007,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
apriori,0.01,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
fpgrowth,0.01,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
eclat,0.01,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
apriori_improved,0.01,0.4,0.012991,0.012991,0.012991,0.655738,0.655738,0.655738,13.283003,13.283003,13.283003
